Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
970;18217;"Acta Oeconomica";journal;"00016373, 15882659";0,201;Q4;21;16;112;902;90;111;0,74;56,38;24,24;0;10;Hungary;Eastern Europe;"Akademiai Kiado ZRt.";"1995-2000, 2002-2024";"Geography, Planning and Development (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
971;21101163371;"Financial and Credit Activity: Problems of Theory and Practice";journal;"23064994, 23108770";0,201;Q4;12;248;488;8548;735;488;1,51;34,47;61,47;1;185;Ukraine;Eastern Europe;"Fintech Aliance LLC";"2022-2024";"Accounting (Q4); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
972;26283;"Revista Galega de Economia";journal;"11322799, 22555951";0,201;Q4;11;24;70;1441;64;67;1,08;60,04;44,23;0;15;Spain;Western Europe;"Universidad de Santiago de Compostela";"2001, 2003-2024";"History (Q2); Demography (Q3); Business, Management and Accounting (miscellaneous) (Q4); Development (Q4); Economics and Econometrics (Q4); Finance (Q4); Marketing (Q4); Organizational Behavior and Human Resource Management (Q4)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
973;5700163831;"Revue Economique";journal;"00352764, 19506694";0,200;Q3;24;23;95;765;40;90;0,44;33,26;27,66;2;13;France;Western Europe;"Presses de Sciences Po";"1974, 2001-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3)";"Economics, Econometrics and Finance"
974;21100464761;"Journal of Risk";journal;"17552842, 14651211";0,200;Q4;15;20;69;629;37;69;0,51;31,45;25,53;0;6;United States;Northern America;"Incisive Media Ltd.";"2011-2024";"Finance (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
975;200147129;"Cato Journal";journal;"02733072";0,199;Q3;34;0;45;0;30;45;0,00;0,00;0,00;0;0;United States;Northern America;"Cato Institute";"1985, 1996-2002, 2004-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Geography, Planning and Development (Q3); Public Administration (Q4)";"Economics, Econometrics and Finance; Social Sciences"
976;21100887717;"Journal of Contemporary Central and Eastern Europe";journal;"25739638, 25739646";0,199;Q3;18;45;79;2293;61;69;0,73;50,96;36,23;1;16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2025";"Cultural Studies (Q2); History (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
977;21101210639;"Florida Tax Review";journal;"10663487, 24761699";0,198;Q4;5;6;49;136;20;49;0,52;22,67;14,29;0;6;United States;Northern America;"University of Florida Press";"2020-2023";"Law (Q3); Accounting (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
978;21100464917;"Journal of Computational Finance";journal;"14601559, 17552850";0,198;Q4;17;9;42;400;19;42;0,39;44,44;14,29;0;0;United States;Northern America;"Incisive Media Ltd.";"2011-2024";"Applied Mathematics (Q4); Computer Science Applications (Q4); Finance (Q4)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
979;21100889438;"International Journal of Pluralism and Economics Education";journal;"17575656, 17575648";0,197;Q3;6;14;55;765;29;54;0,59;54,64;33,33;0;3;Switzerland;Western Europe;"Inderscience Enterprises Ltd";"2018-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3); Education (Q4)";"Economics, Econometrics and Finance; Social Sciences"
980;21101055871;"Bulletin for International Taxation";journal;"18195490, 23529202";0,197;Q4;6;41;185;215;40;183;0,30;5,24;34,88;1;22;Netherlands;Western Europe;"International Bureau of Fiscal Documentation (IBFD)";"2019-2024";"Law (Q3); Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
981;19500157309;"Zbornik radova Ekonomskog fakulteta u Rijeci / Proceedings of Rijeka Faculty of Economics";journal;"18467520, 13318004";0,197;Q4;20;19;53;1200;74;53;1,05;63,16;51,06;0;12;Croatia;Eastern Europe;"University of Rijeka, Faculty of Economics and Business";"2008-2024";"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
982;20500195102;"Investigaciones de Historia Economica";journal;"23403373, 16986989";0,196;Q4;15;21;50;876;22;48;0,45;41,71;30,00;2;7;Spain;Western Europe;"Spanish Association of Economic History";"2005, 2011-2025";"History (Q2); Economics and Econometrics (Q4)";"Arts and Humanities; Economics, Econometrics and Finance"
983;21101273214;"Corporate Governance and Sustainability Review";journal;"2519898X, 25198971";0,195;Q4;5;19;47;938;46;40;0,81;49,37;32,26;0;8;Ukraine;Eastern Europe;"Virtus Interpress";"2021-2025";"Accounting (Q4); Economics and Econometrics (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
984;21101018550;"Journal of Governance and Regulation";journal;"23066784, 22209352";0,195;Q4;12;144;358;7483;420;338;1,14;51,97;37,57;0;96;Ukraine;Eastern Europe;"Virtus Interpress";"2019-2025";"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Public Administration (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
985;21100854766;"Public Sector Economics";journal;"24598860";0,195;Q4;11;21;61;1152;51;60;0,95;54,86;44,12;0;14;Croatia;Eastern Europe;"Institute of Public Finance";"2017-2024";"Economics and Econometrics (Q4); Finance (Q4)";"Economics, Econometrics and Finance"
986;21101146446;"Japanese Political Economy";journal;"23291958, 2329194X";0,194;Q3;11;22;50;655;37;45;0,73;29,77;16,67;0;6;United States;Northern America;"Routledge";"1997-2000, 2002-2012, 2014-2025";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
987;21100945168;"Contemporary Review of the Middle East";journal;"23490055, 23477989";0,194;Q4;12;27;74;1643;66;62;0,51;60,85;25,81;0;10;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2025";"Cultural Studies (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
988;21101023274;"Finance";journal;"21010145, 07526180";0,194;Q4;4;4;24;345;14;23;0,19;86,25;45,45;0;3;France;Western Europe;"Presses Universitaires de Grenoble";"2019-2024";"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4); Marketing (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
