"metric","model","preprocessing","value","val_n","train_n","n_ensembles","alpha","lambda.min.ratio","mtry","num.trees","max.depth","min.bucket","min_child_weight","max_depth","subsample","colsample_bytree","eta","gamma","nrounds","early_stop","regularizer_l1","regularizer_l2","droprate","lr","size_of_batch","number_of_epochs","rec_droprate"
"mae","nn1","minmax_scaling",0.677651799012989,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-06, 0.01","1e-06, 0.01","0.1, 0.5","1e-04, 0.01","8, 32","50, 150",NA
"mphe","nn1","minmax_scaling",0.275597815033376,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-06, 0.01","1e-06, 0.01","0.1, 0.5","1e-04, 0.01","8, 32","50, 150",NA
"mpe","nn1","minmax_scaling",0.338825899506494,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-06, 0.01","1e-06, 0.01","0.1, 0.5","1e-04, 0.01","8, 32","50, 150",NA
"mape","nn1","minmax_scaling",0.114416109122513,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-06, 0.01","1e-06, 0.01","0.1, 0.5","1e-04, 0.01","8, 32","50, 150",NA
"rss","nn1","minmax_scaling",0.424442945791532,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"rmse","nn1","minmax_scaling",0.748503156117422,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mae","nn1","minmax_scaling",0.592588664565517,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mphe","nn1","minmax_scaling",0.220270156141733,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mpe","nn1","minmax_scaling",0.296294332282758,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mape","nn1","minmax_scaling",0.0977421180721666,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"rss","nn1","minmax_scaling",0.340640997907231,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0.005, 0.1","0.005, 0.1","0.3, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"rmse","nn1","minmax_scaling",0.830703315052895,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0.005, 0.1","0.005, 0.1","0.3, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mae","nn1","minmax_scaling",0.640552413934955,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0.005, 0.1","0.005, 0.1","0.3, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mphe","nn1","minmax_scaling",0.257198612578824,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0.005, 0.1","0.005, 0.1","0.3, 0.75","1e-04, 0.01","8, 32","50, 150",NA
